NetName CVcr CVcl CVsr CVsl phi_r phi_l phi_c phi_s tot_biomass Adiv_mean Gdiv_mean Bdiv_mean Adiv_var Gdiv_var Bdiv_var tot_K tot_c tot_env rho_eta_hetero rho_eta_fluc d r_std Neutral
N100_Complete_undir 0.06639529818050316 0.17591894204885125 0.33199338915941917 0.9585685280562577 0.19998982012446323 0.1835225514920376 0.37741983556305 0.3463428846684759 293.1300830749138 3.969162115680433 8.331264247585453 2.0956459895214485 0.13667861770577058 1.6303157096717888 0.06334669402540502 3680.073522282257 190.26135163756206 50.0 0.8 0.95 1.0e-5 1.0 false
N100_Complete_undir 0.04878869730044959 0.162042903875377 0.30134441877194157 0.8438517739275885 0.16190343759899875 0.1920276864752814 0.30108505916415634 0.35710586631746555 335.92731159366383 3.8041912559672166 7.909216864075464 2.0770783305749254 0.09239258242386349 0.9529664202272988 0.027471914158444882 3680.073522282257 190.26135163756206 50.0 0.8 0.95 1.0e-5 1.0 false
N100_Complete_undir 0.08378116292150649 0.17004350655518052 0.39110801996986483 0.9141578118702816 0.21421489369602262 0.18601110699616227 0.492704276798237 0.4278342479726715 379.11483433918306 3.9944611713218228 7.812994292205421 1.9532298413558287 0.08166252025828201 1.8619709380330127 0.08917458705099303 3680.073522282257 190.26135163756206 50.0 0.8 0.95 1.0e-5 1.0 false
N100_Complete_undir 0.07802288387642368 0.18988080418081557 0.26739874373055317 0.9366823422722313 0.2917847809900116 0.2027163272024507 0.4109045367330852 0.28547430827177706 285.0671225919441 4.031734982359639 8.209931923859914 2.030174053261624 0.1373918612606592 1.8108014877196028 0.0516569851736614 3680.073522282257 190.26135163756206 50.0 0.8 0.95 1.0e-5 1.0 false
N100_Complete_undir 0.0644400182427195 0.19226255225332078 0.24947276763318732 1.025625345085664 0.2583048196165001 0.1874588544194589 0.3351667679820186 0.24323966722209894 356.5891202742841 3.9527727613916688 8.317968459561921 2.1028975213474115 0.15331936805784452 1.037174358272596 0.015950000854169595 3680.073522282257 190.26135163756206 50.0 0.8 0.95 1.0e-5 1.0 false
N100_Complete_undir 0.04100909876422818 0.1461406429102472 0.2491175611173085 0.8802536544735541 0.16461745442713752 0.16602105787069785 0.28061392058754026 0.283006562768883 337.3013291339569 4.078071659845371 8.916767462519774 2.185066836233318 0.07824914190339764 0.753112613289583 0.016987326706246232 3680.073522282257 190.26135163756206 50.0 0.8 0.95 1.0e-5 1.0 false
N100_Complete_undir 0.07382726646240262 0.17065951598410198 0.24524042179208627 0.6823798214479267 0.3010403665224204 0.2500946109777738 0.43259976472264283 0.3593899087926076 318.6955761789227 3.291079301006231 4.552667572665435 1.3760784193400681 0.024685787502179878 1.4040563284951086 0.10577993534925008 3680.073522282257 190.26135163756206 50.0 0.8 0.95 1.0e-5 1.0 false
N100_Complete_undir 0.04512508191645641 0.16129967373646611 0.2838650018361417 0.8318362905301546 0.1589666976364505 0.1939079546934228 0.27975928823131074 0.3412510431051594 378.95760777637895 3.9582253986235423 8.065117553907472 2.0389800426300098 0.07479656654385242 0.7205073493189161 0.031293198224589744 3680.073522282257 190.26135163756206 50.0 0.8 0.95 1.0e-5 1.0 false
N100_Complete_undir 0.07287021047391377 0.18512352735888 0.3019516337775604 0.6644296215373582 0.24133073751670867 0.2786202200475965 0.3936301966235106 0.45445239644629976 344.33936770920667 3.62031963815287 7.427500696754074 2.0520199811273447 0.07455387791621756 0.6495315647204347 0.027269098753142502 3680.073522282257 190.26135163756206 50.0 0.8 0.95 1.0e-5 1.0 false
N100_Complete_undir 0.04966217072601536 0.15680607285523498 0.23909056176759366 0.751516850070833 0.20771280287629726 0.20865277051400175 0.3167107613992986 0.31814398006519556 355.72230748742385 3.7887720424806504 8.149691403177828 2.14802544140456 0.06692403953727898 0.6498604169718408 0.011753109452159835 3680.073522282257 190.26135163756206 50.0 0.8 0.95 1.0e-5 1.0 false
